claim_amount,days_since_incident,claim_type,description_length,priority
1200,5,household_goods,80,low
950,3,personal_property,60,low
15000,90,vehicle_damage,220,high
8700,75,household_goods,190,high
2100,10,personal_property,95,low
4300,20,vehicle_damage,140,medium
600,2,temporary_lodging,40,low
11200,65,household_goods,210,high
3200,15,personal_property,110,medium
9800,80,vehicle_damage,200,high
1500,6,temporary_lodging,70,low
5600,30,household_goods,150,medium
2200,8,vehicle_damage,90,low
13500,95,personal_property,230,high
700,3,temporary_lodging,45,low
4800,25,vehicle_damage,145,medium
1100,4,household_goods,75,low
16800,100,vehicle_damage,240,high
3900,18,temporary_lodging,120,medium
2600,9,personal_property,100,low
10500,70,household_goods,205,high
1300,5,vehicle_damage,85,low
6200,35,personal_property,160,medium
900,3,temporary_lodging,55,low
12400,88,vehicle_damage,215,high
3400,16,household_goods,115,medium
2000,7,personal_property,90,low
14200,92,household_goods,225,high
5100,28,temporary_lodging,150,medium
1800,6,vehicle_damage,80,low
7900,55,personal_property,180,high
3000,14,household_goods,105,medium
2500,9,temporary_lodging,95,low
9200,78,personal_property,195,high
4100,19,vehicle_damage,135,medium
1000,4,household_goods,65,low
